node_id,group,location,type
28,H001,lounge,env_sensor
29,H001,lounge,env_sensor
30,H001,lounge,env_sensor
31,H001,guestroom,env_sensor
32,H001,guestroom,env_sensor
33,H001,guestroom,env_sensor
34,H001,frontporch,env_sensor
35,H001,mastersroom,env_sensor
36,H001,mastersroom,env_sensor
37,H001,mastersroom,env_sensor
38,H001,kitchen,env_sensor
39,H001,kitchen,env_sensor
40,H001,kitchen,env_sensor
41,H001,kitchen,env_sensor
42,H001,bathroom,env_sensor
43,H001,bathroom,env_sensor
44,H001,hallway,env_sensor
45,H001,hallway,env_sensor
46,H001,evroom,env_sensor
47,H001,storageroom,env_sensor
48,xxxx,faulty,env_sensor
49,xxxx,extra,env_sensor
50,H001,attic,env_sensor
51,H001,hallway,env_sensor
52,H005,house5,env_sensor
53,H004,house4,env_sensor
54,H003,house3,env_sensor
55,H001,hwtank,env_sensor
56,H002,house2,env_sensor
57,xxxx,extra,env_sensor
58,xxxx,extra,env_sensor
59,xxxx,extra,env_sensor
60,xxxx,extra,env_sensor
61,xxxx,extra,env_sensor
100,xxxx,ac_switch_68,ac_switch
102,xxxx,hw_valve,hw_valve
103,xxxx,cw_valve,cw_valve
104,xxxx,hw_dump_valve,hw_dump_valve
105,xxxx,humidifier,humidifier
200,xxxx,power_sensor_86,power_sensor_86
201,xxxx,power_sensor_88,power_sensor_88
