minute,watts,soc
0,-4775.5,69.79
1,-4716.5,69.58
2,-4758.5,69.38
3,-4792.5,69.17
4,-4792.5,68.96
5,-4792.5,68.75
6,-4770.5,68.54
7,-4742.5,68.33
8,-4789.5,68.13
9,-4738.5,67.92
10,-4752.5,67.71
11,-4740.5,67.5
12,-4729.5,67.29
13,-4755.5,67.08
14,-4756.5,66.88
15,-4748.5,66.67
16,-4746.5,66.46
17,-4777.5,66.25
18,-4712.5,66.04
19,-4745.5,65.83
20,-4713.5,65.63
21,-4757.5,65.42
22,-4712.5,65.21
23,-4720.5,65.0
24,-4780.5,64.79
25,-4760.5,64.58
26,-4724.5,64.38
27,-4764.5,64.17
28,-4735.5,63.96
29,-4768.5,63.75
30,-4707.5,63.54
31,-4740.5,63.33
32,-4783.5,63.13
33,-4787.5,62.92
34,-4737.5,62.71
35,-4775.5,62.5
36,-4716.5,62.29
37,-4703.5,62.08
38,-4711.5,61.88
39,-4765.5,61.67
