house,name,duration,power,model,efficiency,progress,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,schedule,schedule_skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,len_profile,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter
H001,CD001,1.7398169877365057,1.2513301360804423,D361222,0.9507262306214627,0,0,0,0,0,0,33.41210120970398,True,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,15.038275173653133,23.274429262879238,15.700782602413023,22.32051687346662,15.2976082334285,24.0,16.58322170680524,22.956691681100473,15.60240991646077,23.83632738906773,16.367503975671596,23.01327456809415,13.92454666379182,22.13441922153424,15.392637427327987,23.417677592841436,16.046726259355847,24.0,16.206501680213332,21.75282217246031,ntcl,clothesdryer,D361222,0,P1,569,0,0,0,0,0,0,3814,4.2036739110074155,3814,59.317103095912614,56.28904715385248,5,5,5,5
H002,CD002,1.5145755987058227,1.263891326663371,B7E43D,0.9476665826336276,0,0,0,0,0,0,73.86670884640381,True,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,17.320470779032718,22.669031714965957,16.884383883825766,21.31580326192108,14.642728634055219,23.634106621530712,16.888310023868964,23.84675205820364,15.262719482244652,22.878164748038618,16.083054864607792,23.0428532569413,16.745218516052084,21.09031093800364,15.867685288255595,23.508743192718324,15.534980312872209,21.712205516290886,15.37485997237713,22.812024062735425,ntcl,clothesdryer,B7E43D,0,P2,870,0,0,0,0,0,0,4253,2.9257268242562917,4253,47.67232403290884,35.02394357070688,5,5,5,5
H003,CD003,0.7899742449634046,0.24433077486044044,B7E43D5,0.9487473338519413,0,0,0,0,0,0,61.49354474970974,True,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,15.915626407104538,24.0,15.154231185935732,22.816925553703275,16.915314163617914,22.99280188869353,15.406700061165935,23.362257259049162,14.104727881920068,21.88869303596551,16.857354501871797,23.185009174390686,17.042366355239793,22.712346946719688,15.112605114466827,23.13053619113139,15.861019988188879,24.0,14.976082870379347,21.815420840674705,ntcl,clothesdryer,B7E43D5,0,P3,498,0,0,0,0,0,0,3177,16.668253943441357,3177,36.587864935344975,51.63789752602406,5,5,5,5
H004,CD004,0.5573491317946324,0.8226105094433482,B7E43D,0.9487805242756807,0,0,0,0,0,0,65.89192889207239,True,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,14.059788862337687,22.569895226307768,15.998741609768041,24.0,14.291500375081409,24.0,18.63257488165344,22.090478546960956,15.535250847464672,22.734925472147626,15.571773455824626,23.514324008864165,15.966751189858531,23.424336459474016,15.853896634820305,23.814550072232887,15.883715196957684,22.52455606152858,14.953330601891494,23.00942656114455,ntcl,clothesdryer,B7E43D,0,P4,-19,0,0,0,0,0,0,4253,53.655045775792914,4253,31.643146083770098,43.45132137356517,5,5,5,5
H005,CD005,0.5845891395156665,1.1292127376934253,B7E43D3,0.9484096271311024,0,0,0,0,0,0,65.5772029953719,True,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,15.69463738803628,22.902021548251657,15.82652388567024,23.703823286704047,17.726931471742695,23.671385362796865,15.298432602329004,22.887197967075295,16.959445506498714,23.257462496258654,15.389139906092726,22.81095425718936,14.494748065813079,22.671595399594224,16.08232920757691,22.458309927820178,15.647650405140306,24.0,16.223246029280418,22.21866266067658,ntcl,clothesdryer,B7E43D3,0,P5,-108,0,0,0,0,0,0,903,49.09445564901746,903,49.99552160747536,59.20276352154228,5,5,5,5
H006,CD006,0.6083002882426378,0.687872054806574,D361224,0.949258214293892,0,0,0,0,0,0,37.84695172227716,True,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,16.555337021170622,24.0,17.81862815389424,22.50918198721037,15.225228253474258,24.0,15.294125372639595,23.595235656451493,16.60459237765189,24.0,14.13922967150507,22.025750489070035,16.412693092901314,21.843140425908253,16.11267803521894,23.380072038687988,15.547549644231879,22.720576552059566,15.787713777817968,24.0,ntcl,clothesdryer,D361224,0,P1,250,0,0,0,0,0,0,3526,49.2333477666116,3526,40.06456137145993,50.03947200157723,5,5,5,5
H007,CD007,0.8832409760827993,0.22822790241336488,D361223,0.9518759644330785,0,0,0,0,0,0,67.89204856585819,True,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,15.22728606427362,22.987176960103938,16.412407609382768,22.50917578498743,16.22956563123916,22.185553862472403,16.551265080249316,21.913359758557068,15.459304342471667,22.349572319252786,16.3763195839091,23.451490168591587,15.272528323295473,23.34219869278054,14.342394544971633,24.0,15.208918119202647,22.779333449713306,17.086014194015558,22.55951085155628,ntcl,clothesdryer,D361223,0,P2,-444,0,0,0,0,0,0,6549,21.43323696029575,6549,56.07111000795207,31.799775186896667,5,5,5,5
H008,CD008,0.9990597458771103,0.831131674859032,B7E43D,0.9506527629935903,0,0,0,0,0,0,61.82502227512118,True,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,17.600102615648098,21.19596541982642,15.340751342402388,24.0,15.576694357512931,23.08531863929923,16.56188454491526,23.70966693971755,16.732947372638172,23.22305636562645,15.263758694615408,23.985358602691406,17.263783529532432,23.37433722022832,16.454336680408016,22.186422617630715,16.636851911557667,23.45233660406518,16.821703944419188,21.94296357690655,ntcl,clothesdryer,B7E43D,0,P3,-90,0,0,0,0,0,0,4253,18.885759722477815,4253,51.96863687708728,31.440593677600813,5,5,5,5
H009,CD009,1.3495052358999846,1.2154650654148913,B7E43D2,0.9507156083038407,0,0,0,0,0,0,63.17899590497594,True,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,15.028654871256414,22.38846624603716,17.04642164569699,22.619474058759014,15.500742073699813,23.213417553855624,16.127682280346235,22.362680776362836,14.877602412167457,23.290643697369926,16.409932186735574,24.0,16.901259029285637,21.805419478262138,16.42956815023443,24.0,16.596021653346202,22.778643702188393,18.008124780655194,23.987687313443868,ntcl,clothesdryer,B7E43D2,0,P5,609,0,0,0,0,0,0,3766,58.961894323090284,3766,41.20019791696683,55.72556350938582,5,5,5,5
H010,CD010,1.86714574756906,0.20700694090612687,B7E43D2,0.9469089605982614,0,0,0,0,0,0,25.35547282025972,True,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,15.912084107149672,23.329977231299573,15.908857112275477,21.975215600957227,17.634612612737893,22.22853812209919,14.24729737117286,23.487975824826865,16.34068163522962,22.578227214555366,15.769200481549225,22.458582206848384,15.084162100839169,20.52741958834447,16.448483800780714,22.29918827395272,15.403982602755102,21.67965719164365,16.136066212894303,23.263051084409998,ntcl,clothesdryer,B7E43D2,0,P4,599,0,0,0,0,0,0,3766,50.976470694819085,3766,41.673752751082574,42.094239913881054,5,5,5,5
