house,name,duration,power,model,efficiency,progress,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,len_profile,skew,schedule,schedule_skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter
H001,CW001,1.2294219147706984,0.4226082422632386,7297E3,0.9496394935918118,0,0,0,0,0,0,57.60566172890538,True,AN,230.0,0.0,50.0,236.246.190.68,12340,224.0.2.0,10000,17.055979000163138,20.66439982147742,16.439785556463402,20.47424456281944,16.92841616965939,20.96673693977206,17.60905027490248,21.31449398721577,15.76026034241621,19.519339254911138,17.623764854600232,20.113812405338635,14.86879918224201,20.78253566645828,15.174947063053796,20.325581483115606,15.972506824886699,18.529934975747935,16.525618596936695,20.61980513974655,ntcl,clotheswasher,7297E3,3530,0,P1,-605,0,0,0,0,0,0,50.70340567290572,3530,58.23587839612747,34.46482625110287,5,5,5,5
H002,CW002,1.0428833007480918,0.49205834847160096,D3231E2,0.9500558133216516,0,0,0,0,0,0,55.301551390878544,True,BN,230.0,120.0,50.0,233.240.198.43,10402,224.0.2.0,10000,16.528993819569298,18.475433614918437,16.208884248797172,19.13741500724657,14.54027527015779,20.799051973801443,16.508090741423658,20.839386456450704,16.850682263348965,19.910673789949072,15.507079780199444,19.206009503866323,17.773489141348534,20.63140811054777,16.26599351248353,19.624047957921675,15.01211124938264,19.30358689721268,17.977936178764566,19.906749103864904,ntcl,clotheswasher,D3231E2,3951,0,P2,-441,0,0,0,0,0,0,58.938769970668126,3951,37.8145406312597,35.01979875419084,5,5,5,5
H003,CW003,0.366048133046759,0.1366804087166163,B8121D,0.9491911501991626,0,0,0,0,0,0,75.30487429693429,True,CN,230.0,-120.0,50.0,224.15.77.40,10041,224.0.2.0,10000,17.995453204080093,20.038182598604255,16.509719879412625,20.91021277125586,17.400971783614885,19.036371863886725,15.609723015969692,20.355177512474416,16.48951498252504,19.89084006378035,14.403294748468008,19.599193263374584,15.538952973393057,20.97597250398116,13.682836790379328,20.18857879001682,16.910973085156915,19.396049955165182,17.104056830866597,18.887440846001432,ntcl,clotheswasher,B8121D,5294,0,P3,505,0,0,0,0,0,0,58.18187515480309,5294,31.878442838370898,40.22113607066747,5,5,5,5
H004,CW004,1.5957485464616041,0.30645326302136894,B8121D,0.9509602740476938,0,0,0,0,0,0,27.241110618922185,True,BN,230.0,0.0,50.0,230.138.30.240,12078,224.0.2.0,10000,16.906123785668022,19.958548300220446,16.427078327927774,19.162903496402045,17.59038820651834,21.77558588153634,16.925284322677367,20.67254438119435,15.29523136237333,19.032678506462382,17.74317511571823,19.848850363920743,17.55202526479306,20.87205863217428,15.248470148375253,20.72469443506627,15.771660851633074,21.06079927067057,16.018779833690875,20.243795406632035,ntcl,clotheswasher,B8121D,5294,0,P4,-506,0,0,0,0,0,0,53.915142654069,5294,57.834551293046694,37.91939115447117,5,5,5,5
H005,CW005,1.1231366174839792,0.4240722879094654,D3231E2,0.9520721185120864,0,0,0,0,0,0,60.62332181689312,True,CN,230.0,120.0,50.0,230.23.164.157,10736,224.0.2.0,10000,17.310041397973155,19.156552651676204,17.10451224163936,20.916202276843794,15.821077673695022,20.85062069640791,16.757202618220898,19.25669771570891,15.111290041911495,21.067915906358202,16.719733194523357,19.96429394636538,15.810226351524419,21.378128009671958,17.438346094510454,20.08435707508281,15.670475913434023,19.89718874398407,16.899781326784176,20.524528495916044,ntcl,clotheswasher,D3231E2,3951,0,P5,-260,0,0,0,0,0,0,27.702049628121905,3951,32.69803200123369,32.79069444396711,5,5,5,5
H006,CW006,0.9996674484804082,0.3337647344516832,D3230E,0.9531260193720758,0,0,0,0,0,0,49.28563809761387,True,CN,230.0,-120.0,50.0,231.235.196.254,12854,224.0.2.0,10000,16.820232003059882,22.59867370068432,15.073795971174407,20.623312012105426,15.120532352793525,19.231704224580678,17.539502344716936,20.286246171575677,15.638567939920216,20.910347101420975,14.70559064356244,21.125109636288695,15.711799241795317,18.98073547495211,14.630732668593092,19.508052621910426,16.440305742618364,19.4640318310518,15.980512494030727,21.028606732748003,ntcl,clotheswasher,D3230E,7370,0,P4,-429,0,0,0,0,0,0,1.0961636189758406,7370,44.008725524347085,50.98163532111638,5,5,5,5
H007,CW007,0.2315777056983691,0.7371265913893809,11F01E,0.9499500714174575,0,0,0,0,0,0,57.3528038525916,True,AN,230.0,0.0,50.0,232.221.91.102,11374,224.0.2.0,10000,16.074940738131435,20.888765770950993,15.63599814496051,20.347837246881582,16.34990573740257,20.363530564138745,16.239520909949125,20.84706153447759,16.19251310310782,19.922007758032063,15.743201251314284,19.192179046756184,15.824056734889329,19.18219240181546,15.36217113390445,20.704170779059,15.430547645357482,20.08156483413452,15.1932745064492,21.31940670106536,ntcl,clotheswasher,11F01E,7334,0,P1,670,0,0,0,0,0,0,28.680745934033162,7334,36.63331395047048,56.82807916840105,5,5,5,5
H008,CW008,1.3161298459017639,1.0260381253759694,7297E3,0.9522420071864492,0,0,0,0,0,0,76.71176894289556,True,BN,230.0,120.0,50.0,229.133.115.28,11999,224.0.2.0,10000,15.344909630642288,18.275743244920786,16.43877846254976,20.357537162284874,15.979993696297774,19.476409061006034,17.008107474482678,20.387653913268448,15.74938391497123,21.346584506344765,16.255946963093688,20.114207905697203,15.319828538619515,18.95908186839135,15.28824331389258,19.715546206089908,14.709127355369299,21.223596193588953,18.136979905627175,18.43738218779157,ntcl,clotheswasher,7297E3,3530,0,P1,-664,0,0,0,0,0,0,3.434319666039647,3530,32.31661984923503,58.41317083158387,5,5,5,5
H009,CW009,1.2072848477414075,0.24300498411986288,D3231E,0.9505886419826711,0,0,0,0,0,0,49.17672615597316,True,CN,230.0,-120.0,50.0,226.61.105.212,10169,224.0.2.0,10000,16.54434530078929,19.560258512343584,15.977334289354099,17.911110558304195,15.31065446834512,19.647239158716882,15.245966089559703,21.389479307267884,15.064432558876668,20.713184435028225,18.644700790115085,20.13561823316455,14.794695998073541,18.102588786643782,17.155186065048696,22.789077198251668,16.29160691289636,20.024793317993353,16.46041459818471,20.37245143894847,ntcl,clotheswasher,D3231E,2812,0,P3,-112,0,0,0,0,0,0,40.57898417035235,2812,44.617994702155826,45.11469383803815,5,5,5,5
H010,CW010,0.13915622241808345,0.17354111612165188,D3231E,0.9500503772592035,0,0,0,0,0,0,73.44940191042663,True,AN,230.0,0.0,50.0,230.11.51.98,12574,224.0.2.0,10000,17.04160873847201,17.264013620981096,17.325283374023606,18.44181220654564,15.204439489949507,21.161936126226824,14.738906922666676,22.697998032827773,14.72571702269083,19.810041584265505,15.530051362127544,17.431698880505806,17.43588992839234,20.26941142278646,16.397973471625352,18.264614135738473,16.776466418192864,20.302061955245172,16.984699478066254,18.519094148061146,ntcl,clotheswasher,D3231E,2812,0,P3,5,0,0,0,0,0,0,44.713513635450134,2812,53.78977322942919,44.498979652411705,5,5,5,5
