house,name,duration,power,model,efficiency,progress,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,len_profile,skew,schedule,schedule_skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter
H001,DW001,0.5301379308277234,0.6777995221103073,B7E6FA,0.950761237386662,0,0,0,0,0,0,52.31412198553251,True,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,17.365177728994585,6.008506796471414,16.760095937657262,6.34760107856736,16.094341910209398,6.006247714213873,16.36352995493207,3.1707181538640414,15.351743774830654,2.9556597232887896,16.568959230648776,3.875371285205026,18.528959201039868,3.6334075676560036,15.622160530956295,5.671913458862829,18.183489553893352,4.1577083435324464,18.078212716931912,5.564421966860785,ntcl,dishwasher,B7E6FA,12979,0,P1,-263,0,0,0,0,0,0,45.940308104184474,12979,45.875075834553684,48.628846650227786,5,5,5,5
H002,DW002,0.39477377663405744,0.5186721419689205,B81D04,0.9478715797481502,0,0,0,0,0,0,36.435732874602046,True,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,16.297529137919142,6.965868463335689,16.86503179696014,3.1171683324763704,17.402287505119777,4.993385271575704,18.66733618297593,6.434112069672505,17.296495077347306,5.883784618224562,18.156641693090354,4.223735467412714,17.013740138556248,3.7783733600392684,16.835661855765746,2.5500771865453085,16.831237092393877,5.386022538597502,16.338322745535613,3.096953096400454,ntcl,dishwasher,B81D04,6446,0,P2,-499,0,0,0,0,0,0,48.22963988933216,6446,37.17686407441913,37.6819966454843,5,5,5,5
H003,DW003,0.34585811433027713,0.33906092705059343,B82F812,0.9505882714023043,0,0,0,0,0,0,47.626350408637606,True,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,18.48454175046275,3.208156897928615,18.17073850906649,5.759956169330312,17.1656897588351,6.150191588838152,16.68591759223726,4.961557872062919,17.84049244882031,5.84434549537174,15.820194720831267,4.031177322671917,16.766736553687814,2.7635897619816467,17.757252055248156,5.392439046267996,17.06223701499533,3.996963408442793,18.966978730384476,8.91087100148328,ntcl,dishwasher,B82F812,2141,0,P3,424,0,0,0,0,0,0,29.78852846588297,2141,41.52943379002733,30.505290873581686,5,5,5,5
H004,DW004,0.901697955819134,1.0793425093254687,B81D04,0.9504409517601395,0,0,0,0,0,0,76.29148498866527,True,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,17.784634311080502,4.624466041935996,18.70076726106165,5.140532374929523,15.493390505484385,4.829539558049569,17.173864952005346,4.91294361158593,16.97253532344164,4.483627671766191,16.053385442135053,6.49150673276764,16.961990952248303,3.2356995841234024,17.753432707278787,5.121179778439734,17.42968984242664,5.0755238103894715,16.178464123494727,3.0101787895159906,ntcl,dishwasher,B81D04,6446,0,P4,190,0,0,0,0,0,0,52.88588391583492,6446,53.26531593605759,54.980625749097484,5,5,5,5
H005,DW005,1.3578587753663875,0.5655755976737407,B81D04,0.9499745876522526,0,0,0,0,0,0,63.08551771637976,True,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,19.027426577634046,5.063030415305094,16.808898571939718,4.556895963498786,16.401335793311,5.977301816524133,17.45692236853024,4.560893796258085,15.893013430287501,7.014243441067187,18.490043661458593,6.675301444804506,17.72594488677987,4.9087153794487115,16.163607026468537,4.717323525161529,16.8587601772163,6.676400303657631,16.385477264587568,6.100208395405014,ntcl,dishwasher,B81D04,6446,0,P5,-665,0,0,0,0,0,0,54.79136013017903,6446,30.171912261465703,32.64764042982176,5,5,5,5
H006,DW006,1.8643183774506134,0.9857131084650392,B82F81,0.9494473537688586,0,0,0,0,0,0,70.47105633300731,True,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,17.03690594998115,5.520858695731696,17.36909292935154,2.425629891914594,16.1116446182841,3.173247281489554,16.000615997911506,4.620905666973647,16.790164374534683,4.304467679142061,15.954267764990506,4.321028254201892,17.56469354127824,5.037763256242138,17.8019578742901,4.574900701843395,18.514833317927387,4.243494130036866,15.745280598107131,6.0520128988151995,ntcl,dishwasher,B82F81,1865,0,P1,-486,0,0,0,0,0,0,44.343843914422855,1865,48.80014649450263,34.53253763552926,5,5,5,5
H007,DW007,0.7048329455450485,0.8217690431926217,B7E6FA,0.9517831567361188,0,0,0,0,0,0,65.38036694412399,True,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,16.158668059181693,3.6867805286112008,17.722776598970864,4.919763186211324,17.65170192106755,5.377447987158999,15.591694176440596,7.048811200014325,18.67970763196092,5.665852176448205,17.20269377776003,5.777538604781897,15.235519882538405,3.829978621736714,15.593547755566476,3.3489560879062372,18.131410184674262,3.6118619557047236,16.935983414837672,6.326455954533835,ntcl,dishwasher,B7E6FA,12979,0,P2,-25,0,0,0,0,0,0,58.172073691644286,12979,43.35607564267553,34.73723244730279,5,5,5,5
H008,DW008,0.9387826961742416,0.9034372376746982,B7E6FA,0.9515739810592871,0,0,0,0,0,0,55.00330965028202,True,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,16.034623126813337,3.4259095878145933,16.43783626756634,3.31771695354196,16.520467095967796,4.130281143434904,17.96831554560224,4.6230128052100765,16.72770563091297,5.359565690878884,16.9811105243246,3.3209882780011095,16.82024368478518,5.581800831665909,17.103048989023797,5.941524834542308,17.59998786878939,4.217626646832328,16.373552298263565,4.899971302455344,ntcl,dishwasher,B7E6FA,12979,0,P3,521,0,0,0,0,0,0,11.676377671452272,12979,45.716511500477,45.25504712447949,5,5,5,5
H009,DW009,1.3102767680674372,0.5789609912970488,B82F812,0.9508910368729585,0,0,0,0,0,0,63.33203215151773,True,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,14.253006236428853,5.194625978781685,16.205445797065337,5.682474252650927,18.22635749671312,5.767887822429918,15.009955499740052,5.102891175060137,15.656297007391103,4.264217258259434,17.592059414399234,5.0984085519885625,16.565901706968972,5.8032801457012875,15.693010195637425,4.927071202340679,14.18524766629995,4.524485731886652,18.086360592886912,5.747731494129873,ntcl,dishwasher,B82F812,2141,0,P5,-293,0,0,0,0,0,0,26.558207552172036,2141,57.83812494245073,56.55804945546077,5,5,5,5
H010,DW010,1.653395073425504,0.3895943426261082,B7E6FA,0.9525213321122061,0,0,0,0,0,0,51.41703642019772,True,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,17.474426596677397,4.119815386771571,16.078402303762108,4.866601801067703,17.030762301390794,3.499116073409092,17.118553570526046,4.191779873653711,16.014068470000183,5.761403500010082,18.04418998757974,4.575718100158223,16.291855274339483,6.37208334303143,17.721380085497696,5.1905509379254,15.354885048199222,4.074395495624617,17.705255572402173,4.554228045264675,ntcl,dishwasher,B7E6FA,12979,0,P4,-562,0,0,0,0,0,0,7.038642827794153,12979,42.76548445907416,54.44020891156835,5,5,5,5
H011,DW011,0.2614296750609363,1.3366990438899629,995BAC,0.9494991064861398,0,0,0,0,0,0,35.98285167505745,True,BN,230.0,120.0,50.0,234.37.92.213,11278,224.0.2.0,10000,17.40349841622785,5.1344573951228565,17.491831120955204,4.210777808591602,15.88369682319182,5.847528854356717,16.39245145872555,7.40681338380114,18.044826493070595,4.53633390832437,17.568037678834116,3.6794853572993595,16.168377931820114,4.672948028566112,17.045089856941292,4.996521384325814,16.205920102971326,3.3697080095923133,15.878306818073028,4.374042203190622,ntcl,dishwasher,995BAC,5249,0,P2,359,0,0,0,0,0,0,48.27572510560605,5249,48.01192311776154,51.79578222196149,5,5,5,5
H012,DW012,1.1934640636325637,0.7343944860588713,B7E6FA,0.952418328506724,0,0,0,0,0,0,60.364075211815845,True,CN,230.0,-120.0,50.0,235.14.86.196,11902,224.0.2.0,10000,17.036540387509067,5.129030735143467,18.38813111508976,5.580839644934858,16.100714862685127,5.092748284277245,18.189932890878023,5.8899231504420175,18.7041026270459,6.163874887919197,16.57919732561498,5.339313975307971,17.951979450883396,3.3661729501269173,17.360516228975854,5.201452623940855,16.836461625333293,5.095384261734264,16.594458230678544,4.51993707940985,ntcl,dishwasher,B7E6FA,12979,0,P4,731,0,0,0,0,0,0,17.649469357324474,12979,58.5992275944532,54.337073242972714,5,5,5,5
H013,DW013,1.3101123298088764,0.286084160066013,995BAC,0.9526346454728537,0,0,0,0,0,0,47.91037710308914,True,AN,230.0,0.0,50.0,228.170.61.183,10870,224.0.2.0,10000,17.98600917385543,2.350699284281168,17.169816367294608,6.021364834816907,16.604285372170626,6.0730420966601,16.760301439325666,3.69716884313431,18.38083244350941,5.044466907890939,15.835792641168396,5.983784412337713,18.938736056625125,4.768627843551121,15.886162305880372,4.968197046170536,17.904990857457708,5.839093946596327,16.454943632707216,2.903721932101567,ntcl,dishwasher,995BAC,5249,0,P4,39,0,0,0,0,0,0,56.45463572918578,5249,40.44478865432983,34.112959122341636,5,5,5,5
