house,name,load_type,capacity,charging_power,charging_efficiency,soc,min_chargingtime,min_dischargingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,target_soc,hour_start,hour_end,leakage,trip_distance,trip_time,km_per_kwh,with_dr,with_v2g,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime
H001,EV001,ev,35565344.05908367,5263.7200671544715,0.8954708050340769,0.5943415355380153,5,5,35,46,5,5,0.9900363794909168,18.850325107561282,6.925469045341692,1.0000000003661055e-07,24.92045936534635,1.052665890926852,6.431761073511419,True,False,0,0,0,0,1,34.00511793134729,AN,230.0,0.0,50.0,236.246.190.68,12340,224.0.2.0,10000,18.983806722938862,5.29519197928193,16.96478845762793,5.785009619350955,17.03984783013542,6.910140794580181,17.65515422049461,5.7336158049623025,17.75988309764464,8.78023560129939,17.220190437992336,6.920711741718604,17.600375885783976,5.747755588947518,18.510733932609533,7.572869335699105,17.854700910921363,6.0877078249061585,17.99162648251139,4.879876185846124,battery,ford_focus_33kwh,0,0,0,0,0,0,0,58.664246412092396,55.16624962606426,11.277871877777923,28.80369138254096
H002,EV002,ev,183630558.85083923,3176.2838571524658,0.9014140580106762,0.5742717673052917,5,5,23,26,5,5,0.9900020240004309,17.021702634602462,6.985236077298547,1.0000000005848546e-07,27.28732726269329,1.8251931761905045,6.606530739715629,True,False,0,0,0,0,0,45.79824895028109,BN,230.0,120.0,50.0,233.240.198.43,10402,224.0.2.0,10000,18.599142312299485,5.1376583031611425,17.874133094987513,7.752364302461033,17.525750521354492,7.096898240887982,18.75649747377036,5.70931699501755,18.245529173886606,4.1569170397586594,18.24316936074919,5.959966414363151,18.00739754704966,6.235578753719475,17.6260489834895,5.032413143590047,17.500104527675873,6.165324846475128,17.655641542139737,5.521785307217492,battery,ford_focus_33kwh,0,0,0,0,0,0,0,55.26760665292717,17.369103561858758,4.535751752790887,16.786775714456983
H003,EV003,ev,119397605.19997229,6299.45542219035,0.896496827151281,0.8170614828218483,5,5,50,30,5,5,0.9900215578418644,18.844430932857648,6.710020997693,9.999999994406415e-08,26.4772904882455,1.6353330809984383,6.315435711563209,True,False,0,0,0,0,1,63.268048695813896,CN,230.0,-120.0,50.0,224.15.77.40,10041,224.0.2.0,10000,18.329974544057837,5.718146406124223,17.729515522268354,5.057736237274098,18.105134581070953,8.518703781276539,17.879127527207135,5.789855423735132,18.446934186797105,5.7139658879918045,17.467171785574727,6.242832044244584,18.00703251287734,6.551615230641672,17.54001659151697,6.817861136083314,18.040037544583434,5.620491411475851,18.859809677034477,5.327994996172344,battery,mitsubishi_imiev_16kwh,0,0,0,0,0,0,0,48.846729751251786,35.53460637627307,3.634841012071448,15.39261098270558
H004,EV004,ev,155215735.74348417,4355.058341367987,0.9012625186805685,0.8747692883637516,5,5,43,10,5,5,0.9900243284924659,20.332241602843773,6.941979604450037,1.0000000009934149e-07,13.332552976695847,0.6006946862097617,6.735295529842522,True,False,0,0,0,0,0,79.05181243883457,BN,230.0,0.0,50.0,230.138.30.240,12078,224.0.2.0,10000,17.50295899779764,8.561426240346432,17.56791511293344,5.579444642036896,18.13567946413018,5.194444915628184,17.18989400921711,6.046938550433401,18.56148778697627,4.997703269027589,17.440335478526425,7.5998172366196295,19.043049052919816,5.695383555900162,17.92806412352692,8.366929226299426,18.442839982509412,6.382771718186992,18.240371622861367,6.243692722656847,battery,tesla_s60_60kwh,0,0,0,0,0,0,0,30.724374318007836,16.433496189339266,48.90330545440242,45.05368579623739
H005,EV005,ev,67634381.58206902,5370.0277336874415,0.9020283053599234,0.5870494959959534,5,5,23,6,5,5,0.9900552082142173,20.772754154725458,6.871622663626334,9.999999991043575e-08,10.198572195141756,0.4913382079606712,6.342397625609196,True,False,0,0,0,0,1,69.5195519850686,CN,230.0,120.0,50.0,230.23.164.157,10736,224.0.2.0,10000,17.98631427848031,5.663453045866115,18.048576468379352,6.524397708153154,17.693121338702625,5.453812660085232,18.912193749295664,6.872475066992345,16.879225544991144,5.877095331498902,18.241105347796104,4.412948996719594,17.505731972915623,5.808745268121146,18.342068307889257,5.308747705824298,19.07542754115949,5.3061284541880145,18.10832541454142,6.889106739306796,battery,ford_focus_23kwh,0,0,0,0,0,0,0,30.91426742749337,43.2321063567693,58.31549572214476,43.46592762206652
H006,EV006,ev,269253141.9677502,1939.2398185657605,0.8962874880471466,0.7992648212898054,5,5,8,44,5,5,0.9900111316333808,20.96532667868337,6.997999855358374,1.0000000016968906e-07,40.42109238822371,0.7804780494611473,6.372788423867869,True,False,0,0,0,0,1,76.29774025930507,CN,230.0,-120.0,50.0,231.235.196.254,12854,224.0.2.0,10000,17.864282771013542,6.231685346727803,18.03684294170483,4.05709455382278,17.738447307745762,4.66130160531508,17.541541502140344,4.174253953625056,17.504714489969544,7.385787483485004,18.082299539655452,7.534816899570249,17.543510264491154,5.858324466761888,19.062007297423136,7.022319586895127,17.911595143898243,6.450684109652035,17.981647175374547,6.44184628625383,battery,nissan_leaf_30kwh,0,0,0,0,0,0,0,29.07918661141601,52.58014049956651,4.309637429958121,57.553720717925266
H007,EV007,ev,232800547.39284924,6835.263243930345,0.9032682456683911,0.7582607548442,5,5,37,21,5,5,0.990116152169952,17.68445408754403,6.875093142567247,1.0000000008033459e-07,49.205807922179474,1.9002407818604545,6.852962376134653,True,False,0,0,0,0,0,37.089357284499734,AN,230.0,0.0,50.0,232.221.91.102,11374,224.0.2.0,10000,17.69561874496316,6.365090216967647,18.541240969178606,5.9060109964989325,17.678469250229334,7.191815918672397,18.17163777184027,3.7159986860321403,18.08949890339243,4.717057959865898,18.609841151564144,5.826114058613721,17.82253552501793,6.440186589317138,18.814818487684775,5.392904897384976,18.236980413294113,7.927466727324527,18.572594556054376,8.1141970636778,battery,nissan_leaf_30kwh,0,0,0,0,0,0,0,32.38525793526474,24.796959423384845,47.68112910542996,13.407909593287426
H008,EV008,ev,83248834.69401944,3500.003005241905,0.9066651369403568,0.9046936561673701,5,5,56,40,5,5,0.9900017457250646,18.597778883093085,6.804713517034308,9.999999990657389e-08,27.53667460797937,1.041178182282673,6.668408692472491,True,False,0,0,0,0,0,24.917079647200374,BN,230.0,120.0,50.0,229.133.115.28,11999,224.0.2.0,10000,17.999028059468763,6.436572089400186,17.893956930465194,5.384851801260554,18.238572326161794,7.4136561066964575,17.711064076300595,7.42459790656333,19.16893828765793,6.347260494725655,17.460208201677773,5.040477068580972,18.061264996281963,6.089124935959692,17.95561126164357,6.23628018671449,17.98978586617909,4.991585705600494,18.256076854602043,5.352133280511899,battery,chevy_volt_16kwh,0,0,0,0,0,0,0,33.81269840296981,26.048248083346966,11.470414485605225,26.39169789010196
H009,EV009,ev,99533252.73936093,5047.937583931275,0.8975672143577461,0.6010159284758543,5,5,11,51,5,5,0.9900258316493438,20.511452204377488,6.880551237542987,9.999999999946332e-08,24.362510753603097,1.0589094777982544,6.487576361574671,True,False,0,0,0,0,1,69.7509941662853,CN,230.0,-120.0,50.0,226.61.105.212,10169,224.0.2.0,10000,18.442916697846005,6.424902819596662,18.008519930644354,5.467641697684553,18.206769482164514,6.781578635371167,17.69774305506413,6.069263542788591,18.281815593657235,6.281026488369332,18.253822610092616,6.422521058487125,18.4516901977269,4.934971293168548,17.51467296065286,6.226462981598535,17.9622672572829,6.89288148955479,18.124073102444836,8.098324139509971,battery,tesla_s85_90kwh,0,0,0,0,0,0,0,50.81673032335656,18.392506131645305,16.9265054120198,33.7979462528569
H010,EV010,ev,271798539.69473463,2473.459607157334,0.8999630641510677,0.642808207969894,5,5,40,42,5,5,0.990073080572767,19.884468114345452,6.841278837929253,9.999999993361506e-08,22.211085570322215,0.4091946067130165,6.473769029027605,True,False,0,0,0,0,1,43.95406572587969,AN,230.0,0.0,50.0,230.11.51.98,12574,224.0.2.0,10000,17.212235726934395,7.35693517461322,16.94075575350069,5.78962918467175,17.945885332922874,5.451882009827262,17.190625376764093,3.2055121634888692,18.86233062764503,5.704653648576667,17.809083678193115,5.558230805800059,18.239763715953885,5.692279913968446,18.394102447422807,4.780211733599685,17.209171483078,7.146345628406959,18.13930643546177,6.666660759484958,battery,tesla_s85_90kwh,0,0,0,0,0,0,0,37.28097351410806,47.684385769322304,39.92902404997038,42.79388530424765
