house,name,type,volume,cooling_power,air_part,material_part,min_coolingtime,min_heatingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,defrost_cycle,heating_power,ventilation_power,standby_power,cop,cooling_power_thermal,cooling_setpoint,heating_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,U,Um,Ca,Cm,Cp,with_dr,phase,voltage,angle,frequency,mass_change,schedule,schedule_skew,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H001,FZ001,FREEZER,0.09,60.0,0.8900000000000001,0.10999999999999988,44.664751017378194,46.37753031646585,36,349,5,5,68400,430.00559515558666,2.437093989994732,0.5157683680783103,3.994577630866304,239.67465785197825,-9.99972109591697,-99999,0.5002140357884227,-5.000043041904133,-19.998431015600502,-9.727545493043884,-8.246544055951873,20.001161401911187,0,0,0,0,1,54.47686575064793,2.2540407652995933,1.2049793101479054,0.534586298836413,0.13364657470910324,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,AN,230.0,0.0,50.0,0.06475853551883962,P1,795,229.147.130.6,11222,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,54.519479604234746,42.710978230254554,5,5
H002,FZ002,FREEZER,0.318,80.0,0.8,0.19999999999999996,36.00220604285535,36.31208026174564,50,800,5,5,32400,517.7863866641469,3.9050949906850754,0.472348132717011,3.990276132270037,319.22209058160297,-10.000048357914256,-99999,0.49979516397558016,-4.9989426533795704,-20.000318088322874,-11.741108986239915,-9.535149822714365,20.00095820029664,0,0,0,0,1,32.16724755289596,2.1522156339699463,2.795348740357558,1.2988237313383406,0.32470593283458515,0.04192813469862844,235131.77681065048,3190176000.0,1006.0,True,BN,230.0,120.0,50.0,0.06512380857664214,P2,-318,224.248.194.70,11308,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,47.93698524889403,47.405462907550344,5,5
H003,FZ003,FREEZER,0.138,72.0,0.8600000000000001,0.1399999999999999,41.97346524810277,42.30212209374722,42,816,5,5,32400,595.9572365704583,2.5569669711658656,0.49533027894916154,3.993080510548358,287.5017967594818,-9.999655252123198,-99999,0.5001955401699515,-5.002192666709414,-19.99888410315652,-11.607262270800014,-11.507186814388454,20.00386067748228,1,0,0,0,1,41.777805060282375,2.016656781042599,1.602275927727259,0.7945208836671218,0.19863022091678045,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,CN,230.0,-120.0,50.0,0.06470394209740268,P3,677,229.62.152.60,11864,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,9.614119824205012,36.831812775068805,5,5
H004,FZ004,FREEZER,0.09,60.0,0.8,0.19999999999999996,49.71912150098843,50.43578131764776,32,583,5,5,61200,470.30798142852274,3.4438959147569363,0.477433510672334,3.9992106112973627,239.95263667784175,-9.999893442633141,-99999,0.500034389405435,-4.999144822794233,-19.999763603671084,-11.347355385427866,-11.351447705278115,20.001131787999007,0,0,0,0,1,23.708984805011124,2.433717819908487,1.2049793101479054,0.49511874396071737,0.12377968599017934,0.018073785962920433,66546.72928603314,902880000.0,1006.0,True,BN,230.0,0.0,50.0,0.0650471388570229,P4,-525,225.51.215.111,11418,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P4,0,0,0,0,0,0,0,16.098995361005723,49.20119760747024,5,5
H005,FZ005,FREEZER,0.138,72.0,0.8900000000000001,0.10999999999999988,41.7203572862725,57.238002763820774,3,661,5,5,36000,413.4336330620884,4.605762168019685,0.4896398793828907,3.9859025386688685,286.98498278415855,-9.997426930264668,-99999,0.5013461658985633,-4.999563183949693,-20.000553287584214,-9.93399203147374,-8.445162195224162,19.999479370903465,0,1,0,0,0,26.855252794526372,1.9685009381440584,1.602275927727259,0.813957411286741,0.20348935282168526,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,CN,230.0,120.0,50.0,0.0650757815885988,P5,-266,238.127.64.129,11179,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,47.85618775812918,54.777695496048736,5,5
H006,FZ006,FREEZER,0.138,72.0,0.81,0.18999999999999995,48.24088346889924,58.21561249225608,18,378,5,5,36000,338.41640781463343,3.6283469679042715,0.4972219537965651,3.98955189603292,287.2477365143702,-9.999177862884677,-99999,0.49918327934519613,-4.998580692434988,-20.001313876213977,-9.816088344971613,-8.696934912010265,20.00014432482159,0,0,0,0,1,29.836037305415292,1.8854287894970072,1.602275927727259,0.8498204422531983,0.21245511056329958,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,CN,230.0,-120.0,50.0,0.06502462014914154,P1,561,227.136.73.35,11368,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,18.011932844387065,33.218594474337465,5,5
H007,FZ007,FREEZER,0.188,72.0,0.8600000000000001,0.1399999999999999,54.41025490187492,51.50533122652517,5,17,5,5,57600,425.3460699293368,4.694557490899598,0.5092957729885544,4.007556809692685,288.5440902978733,-9.998788358601264,-99999,0.49882911925240603,-4.998670285425353,-20.000453371747923,-8.525591819809602,-11.534762233048358,19.99935188684491,0,0,0,0,0,62.34283556356684,2.0820078452067476,1.9690488163214528,0.9457451473368114,0.23643628683420284,0.029534255532045188,139008.72339749147,1886016000.0,1006.0,True,AN,230.0,0.0,50.0,0.06487296366525848,P2,-485,226.13.104.254,11926,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P2,0,0,0,0,0,0,0,17.881178058279716,32.60310297302397,5,5
H008,FZ008,FREEZER,0.138,72.0,0.8,0.19999999999999996,36.05587213070514,31.553312830225707,24,789,5,5,25200,592.0539617442473,2.2656980660467982,0.49309332916245285,4.0019908021769135,288.14333775673776,-9.999447178044264,-99999,0.49998696938782716,-4.998789597417225,-19.999371702726346,-11.387299426719991,-10.51600715098723,19.999376486700232,1,0,0,0,1,25.687432826725868,2.3891078888613237,1.602275927727259,0.6706586735565643,0.16766466838914107,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,BN,230.0,120.0,50.0,0.06495934218247958,P3,-704,236.16.67.188,12271,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P2,0,0,0,0,0,0,0,5.779986321037747,43.256720694605576,5,5
H009,FZ009,FREEZER,0.188,72.0,0.9300000000000002,0.06999999999999984,45.453103619017384,46.33441473242645,59,641,5,5,79200,502.356651562544,4.945090958305164,0.527008969064078,4.009378437684197,288.6752475132622,-9.999010932161896,-99999,0.49917838089918914,-5.000194346162265,-19.999661541133325,-9.450275279725698,-11.795327560224786,19.99970997562135,0,0,0,0,1,68.76823905316782,2.4045171386396578,1.9690488163214528,0.8188957294916314,0.20472393237290784,0.029534255532045188,139008.72339749147,1886016000.0,1006.0,True,CN,230.0,-120.0,50.0,0.0644334509477311,P5,591,235.31.85.140,11482,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P5,0,0,0,0,0,0,0,10.085999441677087,33.30930262428917,5,5
H010,FZ010,FREEZER,0.138,72.0,0.8,0.19999999999999996,38.43106752017525,52.17255512169391,1,768,5,5,21600,433.05186900137977,4.876751728825951,0.43577654416136935,3.99813283826921,287.8655643553831,-9.999558446973234,-99999,0.49985687589502265,-5.000630270003323,-20.000523310211047,-9.856146279134434,-11.191026887125304,20.000461309734153,0,0,0,0,0,45.69029958435202,2.0424720713429765,1.602275927727259,0.7844787452460598,0.19611968631151494,0.02403293726904543,102038.31823858418,1384416000.0000002,1006.0,True,AN,230.0,0.0,50.0,0.06491835386071844,P4,35,238.13.252.154,12212,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,freezer,P3,0,0,0,0,0,0,0,21.084230457104017,38.15116487843495,5,5
