house,name,volume,cooling_power,air_part,material_part,min_coolingtime,min_heatingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,defrost_cycle,heating_power,ventilation_power,standby_power,cop,cooling_power_thermal,cooling_setpoint,heating_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,U,Um,Ca,Cm,Cp,with_dr,mass_change,schedule,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H001,FG001,0.1,72.0,0.8800000000000001,0.11999999999999988,45.413815054183964,46.22310638649661,15,598,5,5,32400,315.4797696625749,3.8132849238792415,0.5122149398387175,4.016853427353889,289.21344676948,3.9980039478979417,-99999,0.5012653353480797,6.999052093089471,-4.000690572203479,2.666321236841869,2.471856779618646,19.999785092150173,0,0,0,0,1,72.10888492284431,2.0637344043281254,1.2926608140191305,0.626369755385249,0.15659243884631224,0.0193889427631488,73940.81031781464,1003200000.0000004,1006.0,True,0.06520114403515573,P1,-513,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P1,0,0,0,0,0,0,0,25.788747321914656,49.262787688173276,5,5
H002,FG002,0.082,60.0,0.81,0.18999999999999995,54.260812861101655,54.90410500341706,2,504,5,5,43200,573.0110738780493,3.4135756216116233,0.5127114360468779,4.007368985404079,240.44213912424473,3.999211733887564,-99999,0.5006233652453324,7.001007346685787,-3.9996730685460387,5.158502565450085,3.779851529763323,20.000425723635264,0,0,0,0,1,33.32232123129783,1.9835589495394093,1.1324711628111748,0.5709289169722631,0.14273222924306578,0.01698621813126106,60631.46446060798,822624000.0,1006.0,True,0.06465467160328803,P2,885,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P2,0,0,0,0,0,0,0,16.80232175161989,39.43925532109509,5,5
H003,FG003,0.082,60.0,0.9300000000000002,0.06999999999999984,39.30526075742498,30.790287434590596,30,687,5,5,82800,383.88814177721827,3.912893639595523,0.4946671735883125,3.9936105346560375,239.61663207936226,3.998869514648907,-99999,0.499096769426053,7.001004540152419,-4.000550112377061,4.153089707966858,2.6168335930875624,20.000629114801157,0,0,0,0,0,65.66898092911853,2.27326681457693,1.1324711628111748,0.49816904709530774,0.12454226177382693,0.01698621813126106,60631.46446060798,822624000.0,1006.0,True,0.06502924803783783,P3,645,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P5,0,0,0,0,0,0,0,45.97654978072197,33.23668833057593,5,5
H004,FG004,0.076,72.0,0.9400000000000002,0.05999999999999983,41.06780710603938,51.321243317485724,11,283,5,5,36000,326.0550502937736,3.7691833401012795,0.5192440274199711,4.000465453591324,288.0335126585753,4.001210319073942,-99999,0.49987611302095314,6.998947560390048,-3.999457588268313,3.4920467392012577,2.1435460123946806,19.99666170195942,0,0,0,0,0,36.58237808365293,2.181049249033203,1.0765320862157983,0.49358449227728085,0.12339612306932021,0.016147173934540248,56195.015841539105,762432000.0,1006.0,True,0.06489463126535862,P4,146,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P2,0,0,0,0,0,0,0,4.868330547914709,44.409255029493934,5,5
H005,FG005,0.1,72.0,0.8,0.19999999999999996,47.00134391987931,30.772796944686878,36,538,5,5,82800,415.6555203894422,2.202291850907256,0.4763631899367232,3.999533435761182,287.9664073748051,3.999905117230937,-99999,0.4985214841042232,6.999783490794832,-4.000010880040251,4.5995768454879435,4.379970365560427,19.998423157725593,0,0,0,0,0,42.63596821601694,1.9931927414176491,1.2926608140191305,0.648537789225407,0.16213444730635174,0.0193889427631488,73940.81031781464,1003200000.0000004,1006.0,True,0.06498652261905555,P5,405,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P4,0,0,0,0,0,0,0,13.12135057293297,38.48996103393326,5,5
H006,FG006,0.116,72.0,0.8700000000000001,0.1299999999999999,50.850617110119444,54.205570576576726,50,227,5,5,32400,501.0270861798064,4.762342725956937,0.5264959613593244,4.005269954646318,288.37943673453486,4.001584678537986,-99999,0.5002846622969458,7.000133220645317,-4.001096894062888,4.510525362641299,5.987164148531177,19.9987658482918,0,0,0,0,0,26.610692073592475,2.1057896044172684,1.4271071319786108,0.6777064190007396,0.1694266047501849,0.02140553670284402,85771.33996866496,1163712000.0000002,1006.0,True,0.06489466268376244,P1,-185,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P5,0,0,0,0,0,0,0,36.89372227196319,36.234932784215104,5,5
H007,FG007,0.082,60.0,0.9200000000000002,0.07999999999999985,51.87435833610539,35.85595164839818,21,695,5,5,32400,514.6204414674538,4.193566936005511,0.51393707528539,4.01447031508739,240.8682189052434,4.000080711611366,-99999,0.5004428736478761,6.9999531020919665,-3.9998607585503647,4.845869204511578,5.085065022193408,19.99940970268219,0,0,0,0,0,59.39145667819068,2.1413740054383843,1.1324711628111748,0.5288525778005483,0.13221314445013707,0.01698621813126106,60631.46446060798,822624000.0,1006.0,True,0.06500047160253943,P2,3,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P2,0,0,0,0,0,0,0,50.08757966610465,56.62072606748387,5,5
H008,FG008,0.1,72.0,0.8800000000000001,0.11999999999999988,53.22093993291398,39.30593509217225,31,781,5,5,68400,437.4965903899586,3.504283359141718,0.4761204804621133,4.003725951293282,288.2682684931163,3.999140923743814,-99999,0.5005200505873958,7.000433457799583,-4.0004467137396,3.8592109292955623,4.749817364384891,19.999397213446013,1,0,0,0,1,24.05165018913312,2.0174837146247957,1.2926608140191305,0.6407292433879869,0.16018231084699672,0.0193889427631488,73940.81031781464,1003200000.0000004,1006.0,True,0.06496962268765241,P3,595,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P4,0,0,0,0,0,0,0,9.109837746976412,32.29650998677811,5,5
H009,FG009,0.1,72.0,0.8200000000000001,0.17999999999999994,58.134242078735916,37.474653362198524,46,268,5,5,57600,436.4581490190091,2.2114409909048303,0.47672422964423705,3.9993632150970115,287.9541514869848,3.999745008050901,-99999,0.4985297250175271,6.998193091141154,-4.000779405463437,4.283542213493758,4.03398520157393,19.99993918662618,0,1,0,0,0,22.617838911418158,2.0203574022808204,1.2926608140191305,0.6398178919035913,0.15995447297589782,0.0193889427631488,73940.81031781464,1003200000.0000004,1006.0,True,0.06509866274626658,P5,-305,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P3,0,0,0,0,0,0,0,47.79100905298748,41.396436559445874,5,5
H010,FG010,0.116,72.0,0.8700000000000001,0.1299999999999999,58.26909225684518,58.741439687950106,42,64,5,5,43200,337.67959359587053,3.075493630594258,0.49943716872086513,4.01224900750902,288.8819285406494,3.999671992021169,-99999,0.502677226414564,7.002069888477399,-3.998991363373742,4.359330625560233,4.608277229825388,19.99938035465005,0,0,0,0,1,28.224824883759197,2.3705602112488586,1.4271071319786108,0.6020126066432129,0.15050315166080322,0.02140553670284402,85771.33996866496,1163712000.0000002,1006.0,True,0.06520643813455843,P4,-488,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,fridge,P3,0,0,0,0,0,0,0,27.403304661594866,35.61778577321916,5,5
