house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,floor_area,ceiling_height,heating_power_thermal,heating_power,cooling_power_thermal,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,U,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,d_priority,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H001,EH001,True,1,20.00111013151951,99999,1.0019562319702422,23.00037589727328,16.999781634657374,19.075681616030515,21.72599479937933,21.92318345632985,0,0,0,0,1,60.6672293511492,67.99,2.4,5400.0,2400.0,0,0,0,0,3.3211662831569235,3.945912700246412,0,0,5,5,3.9480727057343152,163.176,0.7300000000000002,0.2699999999999998,105.53858863936127,12.130872257397847,527.6929431968064,1467952.8225043993,55248130079.999954,1006.0,0.4833026394297456,0.4891651948860338,P1,825,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,31.789543497359958,P5,0,0,0,0,0,0,0,4.615520460167188,4.003917091526716,5,5
H002,EH002,True,1,19.9992384700958,99999,0.9980915615541466,22.99937872392979,17.00172132487677,21.949989223529567,19.31960388975351,21.806715438623854,0,0,0,0,1,75.85397364458584,11.69,2.4,900.0,1500.0,0,0,0,0,4.882717866335223,2.891649404125912,0,0,5,5,3.211735864947575,28.055999999999997,0.5,0.5,26.69053590687023,3.0678776904448544,133.45267953435115,172873.61452305052,17591111999.999996,1006.0,0.4575302649239024,0.4995799095041063,P2,-593,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,29.340314858042404,P4,0,0,0,0,0,0,0,3.895518996288347,2.2334460241585092,5,5
H003,EH003,True,1,19.999873875057467,99999,1.000429472397298,22.999947409239077,17.001121271852032,18.979808120048588,21.978367936666082,21.866368369435207,0,0,0,0,0,38.81658020237944,14.0,2.4,1100.0,2000.0,0,0,0,0,2.588415030906215,2.3791161612489264,0,0,5,5,2.6331896502411554,33.6,0.7600000000000002,0.23999999999999977,31.07008199309259,3.5712737923094933,155.35040996546294,314692.0887126191,10112255999.99999,1006.0,0.5373067579329599,0.47287548871896695,P3,-893,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,38.69523941630442,P4,0,0,0,0,0,0,0,0.39005953329860454,4.760734730351918,5,5
H004,EH004,True,1,20.000522561066862,99999,0.9999672833194395,22.999184508910858,17.00171577312228,18.16661754718464,20.697832401289325,23.15162558532247,0,0,0,0,0,48.80397902108841,11.37,2.4,900.0,1500.0,0,0,0,0,4.702130053550581,4.946270709451159,0,0,5,5,2.759702317725541,27.287999999999997,0.5800000000000001,0.41999999999999993,28.214688913981206,3.243067691262208,141.07344456990603,195044.0270887441,14372043839.999994,1006.0,0.5209615938996532,0.42702313476533066,P4,69,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,56.80292126484865,P3,0,0,0,0,0,0,0,4.139284011174805,2.5520531790487206,5,5
H005,EH005,True,1,20.00026200822076,99999,1.0002720545046397,23.000152750844148,16.999975740820304,19.399171104759795,18.49246799795857,21.734758359096954,0,0,0,0,1,37.10939505232059,19.87,2.4,1600.0,2400.0,0,0,0,0,2.485493944148719,4.1770100456747015,0,0,5,5,2.532690824488096,47.688,0.7200000000000002,0.2799999999999998,42.83440840490551,4.923495218954657,214.17204202452754,423130.7234923133,16744210559.99999,1006.0,0.5115110795497188,0.5828469162943937,P5,-667,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,59.848026270325,P5,0,0,0,0,0,0,0,3.8219538302608886,2.6303655337081784,5,5
H006,EH006,True,1,20.00196844645205,99999,0.9993291424738571,22.999918403936206,17.001572825873588,18.22911530254747,20.74988493592346,22.56792390794678,0,0,0,0,0,62.04226528708747,11.213514605470557,2.4,900.0,1500.0,0,0,0,0,3.4664552130606157,2.1414392736843584,0,0,5,5,3.675584116159178,26.912435053129336,0.8800000000000003,0.11999999999999966,17.466007705572377,2.0075870925945263,87.33003852786189,291855.9974665782,4049783226.794891,1006.0,0.5270321083441601,0.5393953157196653,P1,516,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,29.781033498107963,P2,0,0,0,0,0,0,0,3.275776527471202,2.7639496477933347,5,5
H007,EH007,True,1,19.99928545612946,99999,0.9995466064049817,23.000452274547076,16.99904144310576,21.043437572186967,19.946767444468406,21.495520494809437,0,0,0,0,0,73.76507626020373,11.604923933458297,2.4,900.0,1500.0,0,0,0,0,3.7034596998771696,4.8661591552664305,0,0,5,5,3.462249504847688,27.85181744029991,0.7400000000000002,0.2599999999999998,17.77746840751292,2.043387173277347,88.8873420375646,253990.9338776861,9080806558.235376,1006.0,0.5012974585586738,0.5164857532989539,P2,-142,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,21.582416555705073,P5,0,0,0,0,0,0,0,3.9672607413953194,4.4162877453710365,5,5
H008,EH008,True,1,20.000920755226065,99999,1.000659664475139,23.002548051211587,16.99804490446055,18.405683661244073,19.229665940949474,22.845034886006307,0,0,0,0,1,32.521993604985866,40.00358934780175,2.4,3200.0,2400.0,0,0,0,0,4.907492508865884,4.782848173651512,0,0,5,5,1.553807374655619,96.0086144347242,0.5,0.5,52.63310335498638,6.049781994826021,263.1655167749319,591579.5623995117,60197401250.57207,1006.0,0.520262053940213,0.5136114315697325,P3,-108,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,49.55999461324632,P5,0,0,0,0,0,0,0,1.297540442247958,3.2529177773322084,5,5
H009,EH009,True,1,20.00048338522846,99999,1.000089211519114,23.000074955522113,17.000544201184866,21.71917031712914,20.902616444719843,21.857167377490278,0,0,0,0,1,37.05239003921582,40.31668659513175,2.4,3200.0,2400.0,0,0,0,0,3.7149071226873613,3.0147109642770986,0,0,5,5,2.322816023760965,96.76004782831619,0.6600000000000001,0.33999999999999986,53.179407801901355,6.112575609413949,265.8970390095068,786996.7977097819,41254613992.080864,1006.0,0.5048087617648643,0.47662687307215756,P5,-700,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,76.71213174071136,P1,0,0,0,0,0,0,0,1.2116508699723971,4.142056281073064,5,5
H010,EH010,True,1,19.999040742981204,99999,0.9998945193478828,23.000793717646566,16.999698828281037,19.400884796683606,19.192557077906297,22.422594594300453,0,0,0,0,1,33.66057132124652,36.78009923442156,2.4,2900.0,2400.0,0,0,0,0,3.9794688533070186,4.98790982889315,0,0,5,5,1.2216566152327581,88.27223816261174,0.8700000000000003,0.12999999999999967,50.6207189526961,5.818473442838632,253.10359476348052,946403.5186550419,14390140265.26893,1006.0,0.5125967073319551,0.49320571868964347,P4,-396,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heater,42.05136024945433,P3,0,0,0,0,0,0,0,2.0424447961613272,4.884583605920882,5,5
