house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,proposed_status,actual_status,proposed_demand,actual_demand,mode,floor_area,ceiling_height,heating_power_thermal,cooling_power_thermal,heating_power,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,U,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,priority,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H001,AC001,True,3.7,19.999534745107926,20.000169772592603,0.9992747509738178,24.000794024977523,15.99930521235147,18.859317459496424,20.465649148790376,22.316374622822426,0,0,0,0,1,19.87,2.4,8000.0,7100.0,2200.0,1900.0,0,0,57.54592238838728,49.37552197563679,5,44,5,5,3.9480727057343152,47.688,0.8200000000000003,0.17999999999999972,30.843532229211775,30.843532229211775,154.21766114605887,4818988.795329124,10764135359.999983,1006.0,0.4833026394297456,0.4891651948860338,P1,-456,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,63.66967866803146,P1,0,0,0,0,0,0,0,17.226236538683967,37.572934966405626,5,5
H002,AC002,True,4.2,20.00012184196317,19.998678751171468,0.9990354282393572,23.998850354100004,16.00061432469575,20.542753212323557,21.671875076828922,21.672108572257027,0,0,0,0,1,11.69,2.4,6000.0,5000.0,1400.0,1200.0,0,0,34.33361265036263,46.82078858674028,14,76,5,5,3.211735864947575,28.055999999999997,0.9200000000000004,0.07999999999999963,26.69053590687023,26.69053590687023,133.45267953435115,3180874.5072241314,2814577919.9999866,1006.0,0.4575302649239024,0.4995799095041063,P2,-560,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,64.4329725260688,P4,0,0,0,0,0,0,0,55.48525919678013,45.98178095597126,5,5
H003,AC003,True,4.2,19.99895934293275,19.99863426035704,0.9995464961056185,23.999495665334276,15.999136773025189,19.917002034922074,20.86912460446223,21.307640737414207,0,0,0,0,1,14.0,2.4,6000.0,5000.0,1400.0,1200.0,0,0,59.02223653237471,54.71065616513957,58,7,5,5,2.6331896502411554,33.6,0.51,0.49,31.07008199309259,31.07008199309259,155.35040996546294,2111749.542676786,20645855999.999996,1006.0,0.5373067579329599,0.47287548871896695,P3,-848,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,69.24170682044527,P5,0,0,0,0,0,0,0,10.909236368462182,33.555074308382295,5,5
H004,AC004,True,4.9,20.000681823623662,20.000193529833176,1.0001518162422813,24.000285421400168,16.001173264231717,21.769316495953124,19.23278319067084,22.40644339917932,0,0,0,0,0,11.37,2.4,3200.0,2500.0,700.0,500.0,0,0,41.051627496104935,57.51265314819684,78,106,5,5,2.759702317725541,27.287999999999997,0.9100000000000004,0.08999999999999964,28.214688913981206,28.214688913981206,141.07344456990603,3060173.528461331,3079723679.999987,1006.0,0.5209615938996532,0.42702313476533066,P4,729,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,36.122780395077,P3,0,0,0,0,0,0,0,54.05872724999141,34.28988504622728,5,5
H005,AC005,True,4.2,20.00120715061547,20.000056221099282,0.9998628073470973,24.001025076734106,16.000734895807554,20.09614137754264,21.647668824390504,21.663465474926074,0,0,0,0,0,19.87,2.4,6000.0,5000.0,1400.0,1200.0,0,0,38.595214974328016,58.46945266686774,72,51,5,5,2.532690824488096,47.688,0.5800000000000001,0.41999999999999993,42.83440840490551,42.83440840490551,214.17204202452754,3408553.050354746,25116315840.0,1006.0,0.5115110795497188,0.5828469162943937,P5,-285,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,64.51915056076739,P4,0,0,0,0,0,0,0,8.94488778171988,52.738571912446375,5,5
H006,AC006,True,3.5026896743118905,20.00197321954024,20.001269024028925,1.0008747258008237,23.997699435234242,16.00055423598807,19.98523828408007,20.274635754134138,22.854698096216303,0,0,0,0,1,9.0,2.4,1300.0,900.0,400.0,300.0,0,0,32.97380578628906,53.03745768512735,62,21,5,5,3.675584116159178,21.599999999999998,0.8000000000000003,0.19999999999999973,14.018269461517772,14.018269461517772,70.09134730758886,2129495.3371530613,5417279999.999993,1006.0,0.5270321083441601,0.5393953157196653,P1,-561,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,67.29120109463824,P4,0,0,0,0,0,0,0,26.24955447790657,43.27303619037192,5,5
H007,AC007,True,3.488170603971594,20.00134846976876,19.999164018538703,0.9986798410897515,23.999950176554016,16.000115564850418,21.613221045186343,20.836023182518026,22.02231736610287,0,0,0,0,0,24.887448544925107,2.4,3600.0,2600.0,1000.0,700.0,0,0,36.47036267422315,44.72612021032712,13,82,5,5,3.462249504847688,59.72987650782025,0.8500000000000003,0.1499999999999997,38.12483673205452,38.12483673205452,190.6241836602726,6256673.58132591,11235189771.120966,1006.0,0.5012974585586738,0.5164857532989539,P2,-10,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,30.34512824298876,P5,0,0,0,0,0,0,0,43.97633637441418,51.00289564840621,5,5
H008,AC008,True,3.502722579425807,20.00041322406431,19.99939111567339,0.999279669446311,24.00029047614796,16.00102332474074,19.87494823546248,20.09135838122839,22.236999191180534,0,0,0,0,0,48.34346684230271,2.4,7000.0,5000.0,2000.0,1400.0,0,0,59.48765466975536,39.95913467936475,19,76,5,5,1.553807374655619,116.0243204215265,0.8800000000000003,0.11999999999999966,63.605959573452566,63.605959573452566,318.0297978672628,12582433.993860777,17459339737.031258,1006.0,0.520262053940213,0.5136114315697325,P3,307,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,31.657935087811985,P1,0,0,0,0,0,0,0,59.68736300669287,47.61590531730465,5,5
H009,AC009,True,3.4945032006946803,20.000279014927308,20.001883384928366,1.0018212532971078,24.00058446716117,15.999319600052091,20.94385702665235,20.911985630319528,22.193320189227993,0,0,0,0,1,56.19016858257864,2.4,8100.0,5800.0,2300.0,1700.0,0,0,50.22838155609377,54.76150028430085,12,76,5,5,2.322816023760965,134.85640459818873,0.5,0.5,74.11719915176154,74.11719915176154,370.5859957588077,8309493.193780946,84554965683.06433,1006.0,0.5048087617648643,0.47662687307215756,P5,79,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,51.89642111053956,P2,0,0,0,0,0,0,0,26.1960305954347,50.281647453322584,5,5
H010,AC010,True,3.50231626797117,20.000370597462208,19.999431248784447,0.9980212102370625,24.00058675380572,15.999399816019986,21.364425715326313,20.006830080504194,22.721787389528423,0,0,0,0,0,27.31324350510967,2.4,3900.0,2800.0,1100.0,800.0,0,0,48.0597985104737,56.36450726014314,37,101,5,5,1.2216566152327581,65.5517844122632,0.6800000000000002,0.31999999999999984,37.59141633486278,37.59141633486278,187.95708167431388,5493212.331517622,26304620048.95296,1006.0,0.5125967073319551,0.49320571868964347,P4,604,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,heatpump,51.986330456971984,P1,0,0,0,0,0,0,0,23.35042632415503,51.95472630528651,5,5
