house,name,with_dr,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,p_status,a_status,p_demand,a_demand,mode,d_priority,priority,floor_area,ceiling_height,heating_power_thermal,cooling_power_thermal,heating_power,cooling_power,ventilation_power,standby_power,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,mass_change,volume,air_part,material_part,Ua,Um,Ca,Cm,Cp,mass_fraction_external_heat,mass_fraction_internal_heat,schedule_skew,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,min_cycletime,min_chargingtime,min_dischargingtime
H000,AC000,True,3.7,22.05020040767497,21.27283571446332,0.30000000000000004,21.77283571446332,21.55020040767497,21.181419151383345,22.118420815116988,21.647877410260104,0,1,0,0,0,18,2.6299999999999866,19.87,2.4,8000.0,7100.0,2162.162162162162,1918.9189189189187,3.4150214551502422,1.8022700490564194,60,120,31,45,5,5,3.236551169121898,47.688,0.7100000000000002,0.2899999999999998,30.653010561329893,153.26505280664946,4172611.041934528,17342218079.99999,1006.0,0.5002071364948382,0.5386912050829299,1.2050879238452148,AN,230.0,0.0,50.0,231.166.2.175,12098,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,60,5,5
H001,AC001,True,4.2,22.34854203486676,22.585110456008337,0.2,23.085110456008337,21.84854203486676,21.905179485135907,23.26330031700474,22.030395409300638,0,1,0,0,0,18,2.6399999999999864,11.69,2.4,6000.0,5000.0,1428.5714285714284,1190.4761904761904,0.5857326036541728,1.806013451490293,120,60,1,45,5,5,3.049703518341416,28.055999999999997,0.6900000000000002,0.30999999999999983,26.727413169743333,133.63706584871667,2385697.025407975,10906489439.999994,1006.0,0.46107483524462406,0.47344341935695566,-0.4960157543236019,BN,230.0,120.0,50.0,238.47.132.108,11281,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,120,5,5
H002,AC002,True,4.2,21.524911200659368,21.098103400609922,0.30000000000000004,21.598103400609922,21.024911200659368,21.206390107141395,20.497811081601228,21.823308224497293,1,1,0,0,1,18,4.689999999999943,14.0,2.4,6000.0,5000.0,1428.5714285714284,1190.4761904761904,0.7160800503194438,1.8065874197786087,60,60,32,22,5,5,1.3528989411599655,33.6,0.9000000000000004,0.09999999999999964,31.01673732062807,155.08368660314036,3726681.112326961,4213439999.9999857,1006.0,0.5767516602542333,0.5923266384595913,-0.543175577953512,CN,230.0,-120.0,50.0,235.137.221.196,12997,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_9,0,0,0,0,0,0,0,120,5,5
H003,AC003,True,4.9,22.16041336278613,21.08067395337276,0.4,21.58067395337276,21.66041336278613,20.903247998498234,20.95694136691477,21.411511293605702,0,0,0,0,1,18,5.979999999999915,11.37,2.4,3200.0,2500.0,653.0612244897959,510.204081632653,0.5345518175721155,1.8053721971012782,60,120,92,30,5,5,3.7983552733856123,27.287999999999997,0.52,0.48,27.925547081631844,139.62773540815923,1748700.7467080879,16425192959.999996,1006.0,0.5378717253419891,0.4821986583602387,-0.36849847370380945,BN,230.0,0.0,50.0,231.171.50.23,10870,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_9,0,0,0,0,0,0,0,120,5,5
H004,AC004,True,4.2,21.893576340470347,21.999141621660744,0.1,22.499141621660744,21.393576340470347,21.643252882234666,23.39053551009217,22.711092521464007,0,1,0,0,0,18,8.58999999999986,19.87,2.4,6000.0,5000.0,1428.5714285714284,1190.4761904761904,0.9720557766833468,1.8007248691780795,120,120,93,40,5,5,2.2751684402350776,47.688,0.8000000000000003,0.19999999999999973,42.909131847167295,214.54565923583647,4701533.568376933,11960150399.999985,1006.0,0.43990938012403724,0.49074208169824624,-0.6748285912947447,CN,230.0,120.0,50.0,230.90.94.89,12965,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,60,5,5
H005,AC005,True,3.999761278689594,21.573525299565432,21.51638608085624,0.4,22.01638608085624,21.073525299565432,23.893427349107384,19.75663288774512,21.584823473885784,1,1,0,0,1,18,5.789999999999919,84.25896752656216,2.4,12100.0,-9100.0,3025.1805437659054,-2275.135780848739,8.425896752656216,1.7996388294958345,60,120,5,35,5,5,1.3655667041026331,202.22152206374918,0.53,0.47,112.40061994230922,562.0030997115462,13208201.626783112,119185320673.9325,1006.0,0.5024585229581815,0.49117971173885216,1.4002503328450415,CN,230.0,-120.0,50.0,226.93.249.126,11105,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,120,5,5
H006,AC006,True,4.014043470514546,22.58488874832818,21.214870494312326,0.1,21.714870494312326,22.08488874832818,23.555668526625603,20.898309627482938,22.394722876865544,1,0,0,0,1,18,5.309999999999929,35.26977390977798,2.4,5100.0,-3800.0,1270.5393046842737,-946.6763446667138,3.526977390977798,1.7936212435194785,60,120,114,94,5,5,3.794487860900235,84.64745738346716,0.7500000000000002,0.24999999999999978,53.311912814930096,266.5595640746505,7823761.920572132,26536977889.71693,1006.0,0.48324462373175725,0.46432277544063827,-0.22151635145214765,AN,230.0,0.0,50.0,232.50.154.71,12154,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_20,0,0,0,0,0,0,0,120,5,5
H007,AC007,True,4.009840498430135,21.493273387285814,22.203819279613406,0.30000000000000004,22.703819279613406,20.993273387285814,22.717288178769262,22.574018786012182,21.55326671652971,0,0,0,0,0,18,7.14999999999989,63.18361613571223,2.4,9100.0,-6800.0,2269.416951512829,-1695.8280516799161,6.3183616135712235,1.8005517495448147,120,120,22,88,5,5,2.4691470557238997,151.64067872570934,0.6400000000000001,0.3599999999999999,90.04832736795346,450.2416368397673,11960136.577090828,68456668003.9342,1006.0,0.5270102394652156,0.5413554091634585,-0.5007525065199016,BN,230.0,120.0,50.0,231.134.92.95,12407,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,60,5,5
H008,AC008,True,4.006064520498131,21.769473693341368,21.632387068488658,0.1,22.132387068488658,21.269473693341368,22.749928366395384,22.605004210958803,21.34126150718938,1,0,0,0,0,18,8.54999999999986,132.34216675270957,2.4,19100.0,-14300.0,4767.771438095816,-3569.588040040323,13.234216675270957,1.8012576668416453,120,60,58,61,5,5,3.3826085025257315,317.621200206503,0.5900000000000001,0.4099999999999999,171.79201672725912,858.9600836362956,23094147.729288183,163301763874.1714,1006.0,0.5757160387780474,0.47953710567466945,-0.43732073080282235,CN,230.0,-120.0,50.0,238.16.86.65,10360,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_9,0,0,0,0,0,0,0,120,5,5
H009,AC009,True,3.9948980676800767,21.20668531036442,21.781429129921346,0.2,22.281429129921346,20.70668531036442,21.73559810204814,21.174251686760112,22.19034802070019,0,0,0,0,1,18,3.209999999999974,28.829567236307845,2.4,4200.0,-3100.0,1051.3409676154843,-775.9897618114288,2.8829567236307847,1.8045156091346553,60,60,22,115,5,5,3.3505011089904713,69.19096136713883,0.6500000000000001,0.34999999999999987,47.721540830917846,238.60770415458921,5542467.65098973,30367912944.037216,1006.0,0.4683563911896545,0.5339968775645374,-1.4470615528467494,AN,230.0,0.0,50.0,224.24.32.73,10818,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,tcl,hvac,house_7,0,0,0,0,0,0,0,60,5,5
