house,name,capacity,charging_power,charging_efficiency,soc,target_soc,min_chargingtime,min_dischargingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime
H001,SG001,9.646715229307215,6.394150118124489,0.9003917242313494,0.8545170873810777,0.8977185680241166,5,5,46,57,5,5,0,0,0,0,0,23.802483103324434,True,AN,230.0,0.0,50.0,229.147.130.6,11222,224.0.2.0,10000,9.948207461590492,15.749965441057327,10.323920870235277,17.151621708235584,9.581400744184645,16.46903052633829,8.986053383239373,15.755088474140205,9.628121838939716,16.572289731202506,9.934304238412086,16.694440955368435,8.68343508630527,17.456829129113345,9.548037311884238,17.52197990320138,8.504366921081,16.234201275189342,9.425714426588993,16.41555306072891,battery,storage,Powerwall,0,0,0,0,0,0,0,2.6098550397320297,38.45676309959334,7.06577394331925,24.335722721334076
H002,SG002,7.986828204047233,5.082599536069205,0.8988432643581706,0.6538127809061738,0.9031635655747546,5,5,3,48,5,5,0,0,0,0,0,47.771522994454095,True,BN,230.0,120.0,50.0,224.248.194.70,11308,224.0.2.0,10000,9.28995394406348,18.05852280136358,6.740933050032117,14.773179778422065,8.93043527927661,17.264878811079363,9.216762865247652,16.600883085880994,8.418495105461604,16.62569744729175,8.022434983858044,19.19749679217422,6.907516799206832,18.907297036452448,9.934164521392933,16.153184344325368,8.509200381194603,15.924535904965893,9.248447816408266,16.261504041308033,battery,storage,Powerwall,0,0,0,0,0,0,0,5.327334704533109,36.44404406732657,56.97383986455292,32.702601904652816
H003,SG003,10.937638639888881,6.413896729362979,0.9003085165974668,0.65555422838277,0.8978668328353036,5,5,58,31,5,5,0,0,0,0,1,75.22798368253652,True,CN,230.0,-120.0,50.0,229.62.152.60,11864,224.0.2.0,10000,10.03165294838271,16.597899703808984,9.773061035497001,17.93160576542696,7.8070368301709365,16.622022471077983,9.311885295416193,15.791544912374764,9.630291952064406,17.293599452740292,9.802330836564936,16.9368402852489,9.738334698322554,17.52406247874927,9.232357749157659,16.645162958950568,6.997012842173385,17.986524358160313,10.35550657774134,17.215529992465232,battery,storage,Powerwall,0,0,0,0,0,0,0,36.46660797509546,44.86280357418477,37.40588738739267,5.596686527647704
H004,SG004,12.777916011200507,6.329603644123458,0.898407600418943,0.7072486526891015,0.8986577772325843,5,5,38,11,5,5,0,0,0,0,1,67.84844836802446,True,BN,230.0,0.0,50.0,225.51.215.111,11418,224.0.2.0,10000,9.194654907976433,16.47255867059281,8.323284466863742,16.203894611396183,9.909317116697636,15.416666900953501,10.184814315676416,16.965072325028444,8.348801533613358,17.535088663260172,8.649049640161229,15.00538703129792,9.882744901680363,17.53993936520805,8.987404404458506,18.13921544479081,8.916427913649844,16.256026135135357,9.011158044178671,17.456964410329594,battery,storage,Powerwall,0,0,0,0,0,0,0,36.09125944128532,30.34345842982964,9.813571200200425,59.58305007795819
H005,SG005,9.61253099069054,6.242791381561155,0.9057791071800974,0.6815611463872673,0.9001286733021511,5,5,35,48,5,5,0,0,0,0,1,57.04656996918555,True,CN,230.0,120.0,50.0,238.127.64.129,11179,224.0.2.0,10000,7.832752893663939,17.430878250201317,9.167191658948498,16.563723612201837,7.968953225476819,18.001057978873668,9.7655898870367,16.26448744358298,9.162384134220721,17.705645473907733,8.10539323149711,16.654588167276156,9.738091002474588,17.349647312686304,10.507878099479665,17.29888830887845,8.437882877046285,16.896990587681657,8.386007823752202,16.809208214585027,battery,storage,Powerwall,0,0,0,0,0,0,0,6.566223935652977,53.654403677294496,4.270718928805139,49.57683094497697
H006,SG006,7.266610027879288,6.38246355822811,0.9044849415821161,0.7399977156929844,0.9036664266162978,5,5,36,39,5,5,0,0,0,0,1,26.58436882457666,True,CN,230.0,-120.0,50.0,227.136.73.35,11368,224.0.2.0,10000,8.247325199026536,14.906346489328618,9.38526962089746,16.004522165991514,7.023560004706736,16.566361047924808,10.345790844058731,15.276104010193855,8.715656334234643,16.496047307182582,7.6060045573793245,17.81739297436414,10.58536832006713,16.457028131685345,8.932247149133644,16.760643808213793,6.828293765529984,18.526673047659443,10.497145847149568,16.509090712796997,battery,storage,Powerwall,0,0,0,0,0,0,0,7.992068530191987,30.086889647510144,39.69333930421934,46.76379129845992
H007,SG007,11.259547684491618,5.649859528035601,0.9005871215613787,0.5767689681963377,0.8996119881849125,5,5,31,34,5,5,0,0,0,0,0,52.58354528690858,True,AN,230.0,0.0,50.0,226.13.104.254,11926,224.0.2.0,10000,9.306992239302637,16.102737375315066,7.808955585409368,17.41466946684561,10.030536828010169,16.10663310271419,9.022325991589542,17.64679102196991,8.298335963347636,16.616035925652557,9.82889639920562,16.29366793133406,8.496397600259868,15.758619128933397,9.505678398744513,17.15877082143782,7.692644226424369,19.11984869753219,9.285398921476219,16.671262023913833,battery,storage,Powerwall,0,0,0,0,0,0,0,2.6502830691889634,57.64934691370225,15.031455213807142,28.53136566844819
H008,SG008,9.973037518447562,5.056829426435464,0.9008232964573893,0.7361429962971572,0.8990067669990521,5,5,56,57,5,5,0,1,0,0,0,41.52406727235141,True,BN,230.0,120.0,50.0,236.16.67.188,12271,224.0.2.0,10000,9.987429368545076,17.04838672816238,7.433326372613793,16.94715490683997,8.512433633177833,18.180164164258798,10.048393037212213,16.3796688956763,9.934319331184174,15.712388117455072,8.546878523434387,17.419641142326757,8.802705249885372,16.815382961980998,9.216894457720045,15.389050791829698,8.648580678765898,16.70979854361212,9.791286645452086,16.59481897632436,battery,storage,Powerwall,0,0,0,0,0,0,0,37.262324069451616,22.540330757869,9.822256369352658,59.57144669714323
H009,SG009,11.516461710537612,6.984877806875639,0.8985551934730295,0.7095363130538345,0.9075941986027805,5,5,18,44,5,5,0,0,0,0,0,20.624546499561095,True,CN,230.0,-120.0,50.0,235.31.85.140,11482,224.0.2.0,10000,9.263584543124047,17.381853273238658,10.184629666233677,15.661626567885458,8.83663223508204,16.681289935421052,9.357824333029706,17.047570347337718,9.985112997939593,15.447931527210041,7.812098326221314,18.164998558375405,9.590721063930603,16.09243571665216,8.631658397455602,16.04559530892215,9.055745171002457,17.28706620023362,9.611219681411082,16.389582907419133,battery,storage,Powerwall,0,0,0,0,0,0,0,33.17256838821967,38.08343791651294,34.31864009995035,8.65607181600517
H010,SG010,11.963181616255236,5.59762548455176,0.9059852115165521,0.8119673771688452,0.9023438514097226,5,5,44,6,5,5,0,0,0,0,0,60.40107625004447,True,AN,230.0,0.0,50.0,238.13.252.154,12212,224.0.2.0,10000,9.806969227963535,17.194820768614523,9.346336711978687,17.68210415290606,8.93366373204316,16.757505637694972,8.86524597205854,16.3519967011515,8.933055711920616,17.76426361124453,8.068661888994722,17.83118346126298,10.439763501373013,17.87969125089139,8.059407514562363,15.593633463388054,11.641904028105365,15.48987795954957,8.695141553228042,15.663186334882075,battery,storage,Powerwall,0,0,0,0,0,0,0,36.03503168989841,45.34367581148244,17.85036082507468,22.009553537613915
