house,name,volume,heating_power,air_part,material_part,cooling_power,ventilation_power,standby_power,heating_power_thermal,cooling_power_thermal,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,temp_refill,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,Um,U,Ca,Cm,Cp,location,mass_change,schedule,schedule_skew,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H001,WH001,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,3.483168641365573,3.010692538777354,0,121,5,5,0.98,57.0,99999,4.0,61.0,50.0,56.034655042713084,56.034655042713084,20.0,12.031092381191147,0,0,0,0,1,64.23102271044792,1.2423894939229925,1.4823415671664024,1.1931375582432953,148.23415671664023,0.019885625970721587,753482.474705916,15340.456410291667,4186,inside,6.313656058203981e-06,P1,-760,True,AN,230.0,0.0,50.0,236.246.190.68,12340,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,5.799756128646588,4.821482104845099,5,5
H002,WH002,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,2.0681817144622587,4.545420476075764,0,170,5,5,0.98,57.0,99999,4.0,61.0,50.0,53.12948877520608,53.12948877520608,19.984234541456544,13.99589622303567,0,0,0,0,1,51.038611877996395,1.3192952643171265,2.5242940554414575,1.9133655093865922,252.42940554414574,0.031889425156443205,1674405.4993464802,26123.414320952554,4186,outside,4.9007999359122545e-06,P2,-82,True,BN,230.0,120.0,50.0,233.240.198.43,10402,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,6.523757945568808,3.167350436170375,5,5
H003,WH003,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,2.9886520205225584,4.431217587482935,0,69,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.58052048437623,53.58052048437623,20.0,12.771580173965296,0,0,0,0,1,47.2976513854853,1.3515697780013687,1.4658250117957676,1.0845352090983815,146.58250117957675,0.01807558681830636,740924.4334608173,15169.52988207204,4186,outside,4.767672865828588e-06,P3,-206,True,CN,230.0,-120.0,50.0,224.15.77.40,10041,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,7.753938772277924,3.648971820569922,5,5
H004,WH004,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.082062307925331,4.655229888182554,0,66,5,5,1.0,57.0,99999,4.0,61.0,50.0,58.8691465349616,58.8691465349616,20.0,13.005817764941861,0,0,0,0,1,74.07612068356852,1.2379242771109322,1.4658250117957676,1.1840990914377334,146.58250117957675,0.019734984857295555,740924.4334608173,15169.52988207204,4186,inside,6.664731686197438e-06,P4,761,True,BN,230.0,0.0,50.0,230.138.30.240,12078,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,8.879713113085604,3.968085433846296,5,5
H005,WH005,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.0239325790656695,3.56679119106983,0,28,5,5,1.0,57.0,99999,4.0,61.0,50.0,56.162966633232415,56.162966633232415,20.0,12.813571157285397,0,0,0,0,1,73.66742498106836,1.1362162407751946,1.4658250117957676,1.2900933459600035,146.58250117957675,0.021501555766000057,740924.4334608173,15169.52988207204,4186,outside,5.2791234334838834e-06,P5,411,True,CN,230.0,120.0,50.0,230.23.164.157,10736,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,6.086449425855235,3.3562098523454136,5,5
H006,WH006,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,2.707734554314027,3.9985971502956756,0,1,5,5,1.0,57.0,99999,4.0,61.0,50.0,52.289133426564725,52.289133426564725,19.98742453883307,13.257539094497785,0,0,0,0,1,30.3474985406278,1.2283885652636144,2.083758831471218,1.6963352561199068,208.3758831471218,0.02827225426866511,1255804.12450986,21564.403395129342,4186,outside,6.5682830873559635e-06,P4,-680,True,CN,230.0,-120.0,50.0,231.235.196.254,12854,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,4.87292568353376,3.614118470447889,5,5
H007,WH007,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,2.7858810370904026,4.730426370017387,0,76,5,5,0.98,57.0,99999,4.0,61.0,50.0,51.44793598844018,51.44793598844018,19.995836818059953,13.4050214024136,0,0,0,0,1,27.070989475795834,1.236004107843381,1.4658250117957676,1.1859386247132992,146.58250117957675,0.019765643745221655,740924.4334608173,15169.52988207204,4186,inside,5.929680865105781e-06,P1,-117,True,AN,230.0,0.0,50.0,232.221.91.102,11374,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,6.599279913065203,4.124891633348988,5,5
H008,WH008,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,2.131730026424506,4.213275123709289,0,122,5,5,0.98,57.0,99999,4.0,61.0,50.0,58.917994994816695,58.917994994816695,19.9985436197493,13.062446078490078,0,0,0,0,1,38.138496645119496,1.2677048469630368,1.4658250117957676,1.1562825647526356,146.58250117957675,0.019271376079210593,740924.4334608173,15169.52988207204,4186,outside,4.74062641213172e-06,P1,139,True,BN,230.0,120.0,50.0,229.133.115.28,11999,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,8.176905522714154,4.927235108994552,5,5
H009,WH009,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,2.4749472391930674,3.6801664213550804,0,12,5,5,1.0,57.0,99999,4.0,61.0,50.0,51.14460178713961,51.14460178713961,20.0,11.788854070737147,0,0,0,0,1,27.717086159588035,1.225896648112907,2.5242940554414575,2.0591410045269707,252.42940554414574,0.034319016742116175,1674405.4993464802,26123.414320952554,4186,inside,6.164362678061234e-06,P3,-502,True,CN,230.0,-120.0,50.0,226.61.105.212,10169,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,0.1754784578213242,4.21206812844225,5,5
H010,WH010,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,3.729805251703839,2.7973241936146316,0,80,5,5,0.98,57.0,99999,4.0,61.0,50.0,57.54489695988513,57.54489695988513,20.0,13.3435088545688,0,0,0,0,1,72.88323884403688,1.2733130257856318,2.5242940554414575,1.9824615034342972,252.42940554414574,0.033041025057238285,1674405.4993464802,26123.414320952554,4186,inside,4.503694188357525e-06,P3,-278,True,AN,230.0,0.0,50.0,230.11.51.98,12574,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,8.268842701232392,4.351739883451702,5,5
